question_id,question_text,option_A,option_B,option_C,option_D,correct_answer,section,category,difficulty,language
Q_0449,What should you do when approaching an intersection where the traffic signal shows a steady 'Red' light?,Stop completely before the stop line,Honk continuously to force others ahead,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,A,Section 134,signals,easy,en
Q_0450,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,Apply direct pressure with clean sterile dressings,Give them hot tea or coffee to restore energy,C,Section 112,first_aid,hard,en
Q_0451,"When you see the 'Compulsory Right Turn' warning sign, you must:",Honk the horn continuously,Accelerate quickly to bypass the zone,Stop the vehicle completely,Reduce speed and drive cautiously,D,Section 194,signs,easy,en
Q_0452,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,Give them hot tea or coffee to restore energy,Apply direct compression to bleeding or place in recovery position,D,Section 180,first_aid,medium,en
Q_0453,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,Apply direct compression to bleeding or place in recovery position,D,Section 184,first_aid,easy,en
Q_0454,What should you do when approaching an intersection where the traffic signal shows a steady 'Green' light?,Proceed with speed if safe,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Honk continuously to force others ahead,A,Section 128,signals,hard,en
Q_0455,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Try to force them to stand up and walk around,Apply direct pressure with clean sterile dressings,Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,B,Section 177,first_aid,easy,en
Q_0456,"AIIMS Trauma care protocols state that while moving an accident victim with suspected severe neck injury, you must:",Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,B,Section 134,first_aid,medium,en
Q_0457,What should you do when approaching an intersection where the traffic signal shows a steady 'Red' light?,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Honk continuously to force others ahead,Stop completely before the stop line,D,Section 185,signals,medium,en
Q_0458,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Slow down and prepare to stop,Stop right in the middle of the intersection,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,A,Section 56,signals,medium,en
Q_0459,"While driving on Ghat Roads, what is the standard right of way rules for stopping on a slope?",Yield to the traffic coming from the right/main carriage,Proceed with highest speed to clear early,Honk and claim priority,Wait for signal from oncoming transport,A,Section 3,rules,hard,en
Q_0460,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,Follow the police officer's hand signal,D,Section 112,signals,easy,en
Q_0461,"AIIMS Trauma care protocols state that while moving an accident victim with suspected spinal column trauma, you must:",Stabilize the affected area and avoid bending the spine/joints,Massage the area to restore blood flow,Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,A,Section 115,first_aid,hard,en
Q_0462,"While driving on Ghat Roads, what is the standard right of way rules for stopping on a slope?",Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,Wait for signal from oncoming transport,Honk and claim priority,B,Section 115,rules,easy,en
Q_0463,What is the legal consequence under Section 194A for permitting an unlicensed driver to operate your heavy truck?,A minor warning fine of ₹500,No penalty if owner is riding with them,"Fine of ₹5,000 and owner prosecution",Subject only to vehicle fitness checking,C,Section 194A,rules,easy,en
Q_0464,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Amber' light?,Honk continuously to force others ahead,Stop right in the middle of the intersection,Slow down and prepare to stop,Accelerate as fast as possible to beat the light,C,Section 119,signals,hard,en
Q_0465,What is the regulatory action required under Section 119 for the 'Cycle Crossing' sign?,Applies only during night time,Strict compliance is mandatory,It is only a recommendation,Applies only to heavy transport vehicles,B,Section 181,signs,hard,en
Q_0466,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,B,Section 184,signals,medium,en
Q_0467,What does the traffic sign 'Road Work Ahead' represent?,Mandatory 'Road Work Ahead' restriction,Information about 'Road Work Ahead' lane,Warning of 'Road Work Ahead' ahead,Exemption from 'Road Work Ahead' rules,A,Section 177,signs,easy,en
Q_0468,"When you see the 'One Way' warning sign, you must:",Accelerate quickly to bypass the zone,Stop the vehicle completely,Reduce speed and drive cautiously,Honk the horn continuously,C,Section 112,signs,easy,en
Q_0469,"Under Section 3, driving a vehicle at a speed of 90 km/h in a Ghat Roads speed limit zone of 50 km/h is:",Subject only to verbal warnings,An overspeeding offense carrying a heavy fine,Perfectly fine for private passenger cars,Permitted under emergency situations,B,Section 3,rules,easy,en
Q_0470,"Under Section 122, driving a vehicle at a speed of 110 km/h in a State Highways speed limit zone of 80 km/h is:",Permitted under emergency situations,Perfectly fine for private passenger cars,An overspeeding offense carrying a heavy fine,Subject only to verbal warnings,C,Section 122,rules,hard,en
Q_0471,"AIIMS Trauma care protocols state that while moving an accident victim with suspected severe neck injury, you must:",Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,D,Section 5,first_aid,easy,en
Q_0472,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Amber' light?,Honk continuously to force others ahead,Slow down and prepare to stop,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,B,Section 128,signals,easy,en
Q_0473,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,Slow down and prepare to stop,Honk continuously to force others ahead,C,Section 194A,signals,hard,en
Q_0474,"AIIMS Trauma care protocols state that while moving an accident victim with suspected severe neck injury, you must:",Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,B,Section 5,first_aid,hard,en
Q_0475,"Under Section 184, driving a vehicle at a speed of 62 km/h in a School Zones speed limit zone of 40 km/h is:",Perfectly fine for private passenger cars,Permitted under emergency situations,An overspeeding offense carrying a heavy fine,Subject only to verbal warnings,C,Section 184,rules,easy,en
Q_0476,What does the traffic sign 'Compulsory Left Turn' represent?,Exemption from 'Compulsory Left Turn' rules,Information about 'Compulsory Left Turn' lane,Mandatory 'Compulsory Left Turn' restriction,Warning of 'Compulsory Left Turn' ahead,C,Section 129,signs,hard,en
Q_0477,"Under Section 184, driving a vehicle at a speed of 121 km/h in a State Highways speed limit zone of 80 km/h is:",An overspeeding offense carrying a heavy fine,Subject only to verbal warnings,Perfectly fine for private passenger cars,Permitted under emergency situations,A,Section 184,rules,easy,en
Q_0478,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Follow the police officer's hand signal,D,Section 194A,signals,hard,en
Q_0479,"If a traffic police officer signals you to 'allow left turn only', but the automatic signal is green, what should you do?",Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,Follow the automatic green light,Follow the police officer's hand signal,D,Section 112,signals,easy,en
Q_0480,What does the traffic sign 'Overtaking Prohibited' represent?,Exemption from 'Overtaking Prohibited' rules,Mandatory 'Overtaking Prohibited' restriction,Information about 'Overtaking Prohibited' lane,Warning of 'Overtaking Prohibited' ahead,B,Section 122,signs,medium,en
Q_0481,What is the regulatory action required under Section 119 for the 'No Stopping' sign?,It is only a recommendation,Applies only during night time,Applies only to heavy transport vehicles,Strict compliance is mandatory,D,Section 122,signs,medium,en
Q_0482,What should you do when approaching an intersection where the traffic signal shows a steady 'Red' light?,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,Stop completely before the stop line,Stop right in the middle of the intersection,C,Section 39,signals,hard,en
Q_0483,"While driving on Urban Roads, what is the standard right of way rules for intersection crossing?",Honk and claim priority,Proceed with highest speed to clear early,Wait for signal from oncoming transport,Yield to the traffic coming from the right/main carriage,D,Section 129,rules,easy,en
Q_0484,"While driving on School Zones, what is the standard right of way rules for roundabout entry?",Wait for signal from oncoming transport,Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,Honk and claim priority,C,Section 4,rules,easy,en
Q_0485,"AIIMS Trauma care protocols state that while moving an accident victim with suspected spinal column trauma, you must:",Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,Massage the area to restore blood flow,Ask them to stand up and walk to test reflexes,B,Section 4,first_aid,easy,en
Q_0486,"AIIMS Trauma care protocols state that while moving an accident victim with suspected spinal column trauma, you must:",Carry them over your shoulder immediately,Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,C,Section 3,first_aid,hard,en
Q_0487,What is the regulatory action required under Section 119 for the 'U-Turn Prohibited' sign?,Strict compliance is mandatory,Applies only during night time,Applies only to heavy transport vehicles,It is only a recommendation,A,Section 190(2),signs,medium,en
Q_0488,What is the legal consequence under Section 181 for permitting an unlicensed driver to operate your transport auto?,Subject only to vehicle fitness checking,A minor warning fine of ₹500,"Fine of ₹5,000 and owner prosecution",No penalty if owner is riding with them,C,Section 181,rules,easy,en
Q_0489,What is the regulatory action required under Section 119 for the 'Slippery Road' sign?,Strict compliance is mandatory,Applies only during night time,Applies only to heavy transport vehicles,It is only a recommendation,A,Section 4,signs,easy,en
Q_0490,What is the legal consequence under Section 129 for permitting an unlicensed driver to operate your car?,Subject only to vehicle fitness checking,No penalty if owner is riding with them,A minor warning fine of ₹500,"Fine of ₹5,000 and owner prosecution",D,Section 129,rules,easy,en
Q_0491,"Under Section 181, driving a vehicle at a speed of 98 km/h in a School Zones speed limit zone of 60 km/h is:",An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Subject only to verbal warnings,Perfectly fine for private passenger cars,A,Section 181,rules,easy,en
Q_0492,"If a traffic police officer signals you to 'allow left turn only', but the automatic signal is green, what should you do?",Follow the police officer's hand signal,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,Follow the automatic green light,A,Section 181,signals,easy,en
Q_0493,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Apply direct compression to bleeding or place in recovery position,Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,B,Section 122,first_aid,easy,en
Q_0494,"While driving on Ghat Roads, what is the standard right of way rules for changing lanes?",Wait for signal from oncoming transport,Yield to the traffic coming from the right/main carriage,Honk and claim priority,Proceed with highest speed to clear early,B,Section 39,rules,easy,en
Q_0495,"In a motor accident on a highway, if a crash victim is bleeding heavily from limbs, the Good Samaritan should first:",Try to force them to stand up and walk around,Move them around aggressively to check for broken bones,Give them hot tea or coffee to restore energy,Apply direct pressure with clean sterile dressings,D,Section 134,first_aid,medium,en
Q_0496,"In a motor accident on a highway, if a crash victim is bleeding heavily from limbs, the Good Samaritan should first:",Apply direct pressure with clean sterile dressings,Give them hot tea or coffee to restore energy,Try to force them to stand up and walk around,Move them around aggressively to check for broken bones,A,Section 190(2),first_aid,easy,en
Q_0497,"While driving on Ghat Roads, what is the standard right of way rules for intersection crossing?",Wait for signal from oncoming transport,Yield to the traffic coming from the right/main carriage,Honk and claim priority,Proceed with highest speed to clear early,B,Section 3,rules,easy,en
Q_0498,"AIIMS Trauma care protocols state that while moving an accident victim with suspected spinal column trauma, you must:",Ask them to stand up and walk to test reflexes,Massage the area to restore blood flow,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,D,Section 3,first_aid,medium,en
Q_0499,"While driving on Expressways, what is the standard right of way rules for stopping on a slope?",Honk and claim priority,Proceed with highest speed to clear early,Wait for signal from oncoming transport,Yield to the traffic coming from the right/main carriage,D,Section 134A,rules,easy,en
Q_0500,"AIIMS Trauma care protocols state that while moving an accident victim with suspected internal chest bleeding, you must:",Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,D,Section 122,first_aid,medium,en
Q_0501,What is the legal consequence under Section 119 for permitting an unlicensed driver to operate your heavy truck?,"Fine of ₹5,000 and owner prosecution",No penalty if owner is riding with them,A minor warning fine of ₹500,Subject only to vehicle fitness checking,A,Section 119,rules,medium,en
Q_0502,"While driving on Urban Roads, what is the standard right of way rules for roundabout entry?",Wait for signal from oncoming transport,Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,Honk and claim priority,C,Section 180,rules,easy,en
Q_0503,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,A,Section 119,signals,easy,en
Q_0504,"If a traffic police officer signals you to 'allow left turn only', but the automatic signal is green, what should you do?",Follow the police officer's hand signal,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,Follow the automatic green light,A,Section 134A,signals,hard,en
Q_0505,"AIIMS Trauma care protocols state that while moving an accident victim with suspected head trauma, you must:",Massage the area to restore blood flow,Ask them to stand up and walk to test reflexes,Carry them over your shoulder immediately,Stabilize the affected area and avoid bending the spine/joints,D,Section 177,first_aid,easy,en
Q_0506,"If a traffic police officer signals you to 'allow left turn only', but the automatic signal is green, what should you do?",Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,A,Section 184,signals,easy,en
Q_0507,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Try to force them to stand up and walk around,Move them around aggressively to check for broken bones,Give them hot tea or coffee to restore energy,Apply direct pressure with clean sterile dressings,D,Section 115,first_aid,medium,en
Q_0508,What does the traffic sign 'U-Turn Prohibited' represent?,Information about 'U-Turn Prohibited' lane,Mandatory 'U-Turn Prohibited' restriction,Exemption from 'U-Turn Prohibited' rules,Warning of 'U-Turn Prohibited' ahead,B,Section 190(2),signs,easy,en
Q_0509,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Try to force them to stand up and walk around,Give them hot tea or coffee to restore energy,Apply direct pressure with clean sterile dressings,D,Section 56,first_aid,easy,en
Q_0510,What should you do when approaching an intersection where the traffic signal shows a steady 'Green' light?,Proceed with speed if safe,Honk continuously to force others ahead,Stop right in the middle of the intersection,Accelerate as fast as possible to beat the light,A,Section 194A,signals,medium,en
Q_0511,"Under Section 194, driving a vehicle at a speed of 76 km/h in a Expressways speed limit zone of 40 km/h is:",Perfectly fine for private passenger cars,Subject only to verbal warnings,Permitted under emergency situations,An overspeeding offense carrying a heavy fine,D,Section 194,rules,hard,en
Q_0512,"While driving on Expressways, what is the standard right of way rules for stopping on a slope?",Honk and claim priority,Yield to the traffic coming from the right/main carriage,Wait for signal from oncoming transport,Proceed with highest speed to clear early,B,Section 134A,rules,easy,en
Q_0513,What does the traffic sign 'One Way' represent?,Information about 'One Way' lane,Mandatory 'One Way' restriction,Exemption from 'One Way' rules,Warning of 'One Way' ahead,B,Section 3,signs,easy,en
Q_0514,"Under Section 180, driving a vehicle at a speed of 96 km/h in a Urban Roads speed limit zone of 60 km/h is:",Subject only to verbal warnings,Perfectly fine for private passenger cars,Permitted under emergency situations,An overspeeding offense carrying a heavy fine,D,Section 180,rules,easy,en
Q_0515,What should you do when approaching an intersection where the traffic signal shows a steady 'Red' light?,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,Stop completely before the stop line,Stop right in the middle of the intersection,C,Section 194A,signals,easy,en
Q_0516,"While driving on Urban Roads, what is the standard right of way rules for intersection crossing?",Yield to the traffic coming from the right/main carriage,Honk and claim priority,Wait for signal from oncoming transport,Proceed with highest speed to clear early,A,Section 180,rules,hard,en
Q_0517,What is the legal consequence under Section 39 for permitting an unlicensed driver to operate your transport auto?,A minor warning fine of ₹500,Subject only to vehicle fitness checking,"Fine of ₹5,000 and owner prosecution",No penalty if owner is riding with them,C,Section 39,rules,medium,en
Q_0518,"If a traffic police officer signals you to 'allow left turn only', but the automatic signal is green, what should you do?",Follow the automatic green light,Stop and dispute with the officer,Take a U-turn immediately to avoid the intersection,Follow the police officer's hand signal,D,Section 194A,signals,hard,en
Q_0519,"Under Section 181, driving a vehicle at a speed of 90 km/h in a School Zones speed limit zone of 60 km/h is:",Permitted under emergency situations,Subject only to verbal warnings,An overspeeding offense carrying a heavy fine,Perfectly fine for private passenger cars,C,Section 181,rules,medium,en
Q_0520,What is the regulatory action required under Section 119 for the 'First Aid Post' sign?,It is only a recommendation,Applies only during night time,Applies only to heavy transport vehicles,Strict compliance is mandatory,D,Section 181,signs,medium,en
Q_0521,"AIIMS Trauma care protocols state that while moving an accident victim with suspected severe neck injury, you must:",Carry them over your shoulder immediately,Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,Ask them to stand up and walk to test reflexes,C,Section 190(2),first_aid,hard,en
Q_0522,"While driving on Expressways, what is the standard right of way rules for stopping on a slope?",Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,Wait for signal from oncoming transport,Honk and claim priority,B,Section 134,rules,medium,en
Q_0523,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Follow the police officer's hand signal,Stop and dispute with the officer,C,Section 56,signals,hard,en
Q_0524,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,B,Section 190(2),signals,easy,en
Q_0525,"While driving on Ghat Roads, what is the standard right of way rules for roundabout entry?",Yield to the traffic coming from the right/main carriage,Proceed with highest speed to clear early,Wait for signal from oncoming transport,Honk and claim priority,A,Section 122,rules,medium,en
Q_0526,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Try to force them to stand up and walk around,Apply direct compression to bleeding or place in recovery position,Move them around aggressively to check for broken bones,C,Section 134,first_aid,easy,en
Q_0527,What does the traffic sign 'U-Turn Prohibited' represent?,Exemption from 'U-Turn Prohibited' rules,Warning of 'U-Turn Prohibited' ahead,Information about 'U-Turn Prohibited' lane,Mandatory 'U-Turn Prohibited' restriction,D,Section 185,signs,easy,en
Q_0528,What is the regulatory action required under Section 119 for the 'Compulsory Left Turn' sign?,Strict compliance is mandatory,Applies only during night time,It is only a recommendation,Applies only to heavy transport vehicles,A,Section 5,signs,hard,en
Q_0529,What should you do when approaching an intersection where the traffic signal shows a steady 'Green' light?,Stop right in the middle of the intersection,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,Proceed with speed if safe,D,Section 4,signals,hard,en
Q_0530,"Under Section 5, driving a vehicle at a speed of 65 km/h in a School Zones speed limit zone of 50 km/h is:",Permitted under emergency situations,Perfectly fine for private passenger cars,Subject only to verbal warnings,An overspeeding offense carrying a heavy fine,D,Section 5,rules,easy,en
Q_0531,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Move them around aggressively to check for broken bones,Give them hot tea or coffee to restore energy,Apply direct pressure with clean sterile dressings,Try to force them to stand up and walk around,C,Section 56,first_aid,easy,en
Q_0532,"While driving on School Zones, what is the standard right of way rules for roundabout entry?",Wait for signal from oncoming transport,Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,Honk and claim priority,C,Section 122,rules,hard,en
Q_0533,"While driving on National Highways, what is the standard right of way rules for entering highway from service lane?",Honk and claim priority,Wait for signal from oncoming transport,Yield to the traffic coming from the right/main carriage,Proceed with highest speed to clear early,C,Section 194,rules,medium,en
Q_0534,"AIIMS Trauma care protocols state that while moving an accident victim with suspected severe neck injury, you must:",Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,Massage the area to restore blood flow,Stabilize the affected area and avoid bending the spine/joints,D,Section 128,first_aid,medium,en
Q_0535,"AIIMS Trauma care protocols state that while moving an accident victim with suspected head trauma, you must:",Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,Carry them over your shoulder immediately,Massage the area to restore blood flow,B,Section 128,first_aid,hard,en
Q_0536,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Apply direct compression to bleeding or place in recovery position,Try to force them to stand up and walk around,Move them around aggressively to check for broken bones,B,Section 184,first_aid,hard,en
Q_0537,"If a traffic police officer signals you to 'allow left turn only', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Take a U-turn immediately to avoid the intersection,Follow the automatic green light,Follow the police officer's hand signal,D,Section 181,signals,easy,en
Q_0538,"AIIMS Trauma care protocols state that while moving an accident victim with suspected internal chest bleeding, you must:",Massage the area to restore blood flow,Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,D,Section 122,first_aid,hard,en
Q_0539,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Stop and dispute with the officer,Follow the police officer's hand signal,Take a U-turn immediately to avoid the intersection,C,Section 128,signals,hard,en
Q_0540,"While driving on School Zones, what is the standard right of way rules for stopping on a slope?",Wait for signal from oncoming transport,Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,Honk and claim priority,C,Section 134A,rules,hard,en
Q_0541,"Under Section 122, driving a vehicle at a speed of 107 km/h in a Ghat Roads speed limit zone of 80 km/h is:",Subject only to verbal warnings,An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Perfectly fine for private passenger cars,B,Section 122,rules,hard,en
Q_0542,What does the traffic sign 'Compulsory Right Turn' represent?,Mandatory 'Compulsory Right Turn' restriction,Exemption from 'Compulsory Right Turn' rules,Information about 'Compulsory Right Turn' lane,Warning of 'Compulsory Right Turn' ahead,A,Section 115,signs,medium,en
Q_0543,"Under Section 180, driving a vehicle at a speed of 81 km/h in a Expressways speed limit zone of 50 km/h is:",Subject only to verbal warnings,An overspeeding offense carrying a heavy fine,Permitted under emergency situations,Perfectly fine for private passenger cars,B,Section 180,rules,medium,en
Q_0544,What is the regulatory action required under Section 119 for the 'Give Way' sign?,Strict compliance is mandatory,Applies only to heavy transport vehicles,It is only a recommendation,Applies only during night time,A,Section 134,signs,easy,en
Q_0545,"While driving on School Zones, what is the standard right of way rules for roundabout entry?",Honk and claim priority,Wait for signal from oncoming transport,Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,D,Section 122,rules,hard,en
Q_0546,"If a traffic police officer signals you to 'stop traffic from both front and rear', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Follow the police officer's hand signal,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,B,Section 194,signals,easy,en
Q_0547,"While driving on Urban Roads, what is the standard right of way rules for changing lanes?",Yield to the traffic coming from the right/main carriage,Proceed with highest speed to clear early,Wait for signal from oncoming transport,Honk and claim priority,A,Section 194,rules,hard,en
Q_0548,"In a motor accident on a highway, if a crash victim is in state of deep physical shock, the Good Samaritan should first:",Give them hot tea or coffee to restore energy,Try to force them to stand up and walk around,Move them around aggressively to check for broken bones,Apply direct pressure with clean sterile dressings,D,Section 134A,first_aid,easy,en
Q_0549,What is the legal consequence under Section 112 for permitting an unlicensed driver to operate your car?,A minor warning fine of ₹500,No penalty if owner is riding with them,"Fine of ₹5,000 and owner prosecution",Subject only to vehicle fitness checking,C,Section 112,rules,medium,en
Q_0550,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,Slow down and prepare to stop,Honk continuously to force others ahead,C,Section 134,signals,hard,en
Q_0551,What is the legal consequence under Section 190(2) for permitting an unlicensed driver to operate your heavy truck?,A minor warning fine of ₹500,No penalty if owner is riding with them,Subject only to vehicle fitness checking,"Fine of ₹5,000 and owner prosecution",D,Section 190(2),rules,hard,en
Q_0552,What should you do when approaching an intersection where the traffic signal shows a steady 'Flashing Red' light?,Stop right in the middle of the intersection,Stop completely before the stop line,Honk continuously to force others ahead,Accelerate as fast as possible to beat the light,B,Section 3,signals,medium,en
Q_0553,What is the regulatory action required under Section 119 for the 'No Entry' sign?,Applies only during night time,Strict compliance is mandatory,It is only a recommendation,Applies only to heavy transport vehicles,B,Section 115,signs,hard,en
Q_0554,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,Follow the police officer's hand signal,D,Section 4,signals,hard,en
Q_0555,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Follow the automatic green light,Follow the police officer's hand signal,Take a U-turn immediately to avoid the intersection,Stop and dispute with the officer,B,Section 56,signals,medium,en
Q_0556,"AIIMS Trauma care protocols state that while moving an accident victim with suspected head trauma, you must:",Massage the area to restore blood flow,Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,D,Section 194,first_aid,hard,en
Q_0557,What is the legal consequence under Section 180 for permitting an unlicensed driver to operate your motorcycle?,No penalty if owner is riding with them,"Fine of ₹5,000 and owner prosecution",Subject only to vehicle fitness checking,A minor warning fine of ₹500,B,Section 180,rules,hard,en
Q_0558,What should you do when approaching an intersection where the traffic signal shows a steady 'Amber/Yellow' light?,Honk continuously to force others ahead,Slow down and prepare to stop,Accelerate as fast as possible to beat the light,Stop right in the middle of the intersection,B,Section 39,signals,easy,en
Q_0559,"AIIMS Trauma care protocols state that while moving an accident victim with suspected spinal column trauma, you must:",Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,Carry them over your shoulder immediately,Massage the area to restore blood flow,B,Section 115,first_aid,medium,en
Q_0560,"AIIMS Trauma care protocols state that while moving an accident victim with suspected head trauma, you must:",Massage the area to restore blood flow,Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,D,Section 184,first_aid,medium,en
Q_0561,"Under Section 3, driving a vehicle at a speed of 93 km/h in a National Highways speed limit zone of 60 km/h is:",Permitted under emergency situations,An overspeeding offense carrying a heavy fine,Perfectly fine for private passenger cars,Subject only to verbal warnings,B,Section 3,rules,easy,en
Q_0562,"AIIMS Trauma care protocols state that while moving an accident victim with suspected spinal column trauma, you must:",Massage the area to restore blood flow,Carry them over your shoulder immediately,Ask them to stand up and walk to test reflexes,Stabilize the affected area and avoid bending the spine/joints,D,Section 112,first_aid,easy,en
Q_0563,"While driving on Urban Roads, what is the standard right of way rules for entering highway from service lane?",Honk and claim priority,Proceed with highest speed to clear early,Yield to the traffic coming from the right/main carriage,Wait for signal from oncoming transport,C,Section 4,rules,easy,en
Q_0564,"If a traffic police officer signals you to 'stop the traffic from rear', but the automatic signal is green, what should you do?",Stop and dispute with the officer,Follow the automatic green light,Take a U-turn immediately to avoid the intersection,Follow the police officer's hand signal,D,Section 3,signals,hard,en
Q_0565,"Under Section 184, driving a vehicle at a speed of 80 km/h in a State Highways speed limit zone of 50 km/h is:",Permitted under emergency situations,An overspeeding offense carrying a heavy fine,Perfectly fine for private passenger cars,Subject only to verbal warnings,B,Section 184,rules,hard,en
Q_0566,"In a motor accident on a highway, if a crash victim is unconscious but breathing, the Good Samaritan should first:",Try to force them to stand up and walk around,Give them hot tea or coffee to restore energy,Move them around aggressively to check for broken bones,Apply direct compression to bleeding or place in recovery position,D,Section 177,first_aid,hard,en
